EmployeeID,FirstName,LastName,Department,Salary,HireDate,PerformanceScore,ManagerID
E00001,Danielle,Reyes,Sales,151400,2025-08-18 02:10:20,3.35,E00306
E00002,Angel,Rose,Product,115818,2024-11-11 09:39:11,2.67,E00634
E00003,Joshua,Burch,Customer Success,39703,2020-01-04 15:53:46,3.31,E01152
E00004,Jeffrey,Montoya,Support,107099,2024-02-08 16:23:09,3.78,E00625
E00005,Jill,Solis,Engineering,191921,2025-07-12 19:33:38,2.93,E00939
E00006,Erica,Taylor,Engineering,197932,2019-10-14 01:21:14,2.93,E01297
E00007,Patricia,Wright,Engineering,66585,2018-11-19 13:49:00,3.84,E00848
E00008,Christopher,Davidson,Security,188087,2025-05-29 13:34:54,3.57,E00442
E00009,Robert,Sawyer,Support,78585,2021-05-14 09:51:41,3.62,E00503
E00010,Anthony,Spencer,Customer Success,61958,2023-06-22 13:10:04,3.07,E00130
E00011,Jeffery,Garcia,Engineering,61017,2020-08-31 03:09:52,3.44,E01156
E00012,William,Singleton,Product,159677,2020-01-10 07:24:23,2.95,E00597
E00013,Anthony,Rosales,Security,211422,2024-05-16 20:11:23,4.22,E00862
E00014,James,Mitchell,Engineering,178273,2023-10-07 17:49:06,4.32,E00593
E00015,Debra,Hines,Engineering,64426,2022-11-26 14:48:43,2.31,E00999
E00016,Amy,Nelson,Engineering,52778,2018-12-27 19:47:19,2.95,E00325
E00017,Jeffrey,Whitehead,Sales,211313,2022-06-10 02:26:15,2.55,E01093
E00018,Bridget,Hernandez,Finance,77229,2024-04-02 20:08:28,3.14,E00448
E00019,Lisa,Kim,Marketing,121652,2021-08-11 22:40:52,3.54,E00819
E00020,Adam,Potts,Sales,163267,2019-02-11 07:04:12,2.59,E01189
E00021,Linda,Walker,Support,214436,2024-03-07 02:31:39,2.95,E00709
E00022,Helen,Hayes,Engineering,161503,2024-10-02 00:28:44,2.9,E00265
E00023,Matthew,Bailey,Sales,119878,2024-05-11 20:14:24,3.75,E00612
E00024,Eric,Johnson,Sales,92056,2019-07-16 05:57:00,3.65,E00832
E00025,Susan,Brown,Marketing,193562,2022-03-18 12:00:25,3.09,E01302
E00026,Matthew,Shaw,Customer Success,54975,2020-05-22 22:29:58,3.72,E00674
E00027,Christopher,Young,Engineering,192795,2020-04-01 20:47:23,3.22,E00157
E00028,Colin,Vang,Finance,189351,2019-03-09 09:27:21,3.41,E00251
E00029,Melanie,Brooks,Support,177633,2022-08-12 20:27:48,4.77,E00878
E00030,Cassandra,Johnson,Engineering,123397,2018-03-19 19:14:15,4.54,E00530
E00031,Lindsay,Galvan,Support,215225,2024-11-09 10:16:56,2.69,E00327
E00032,Jessica,Combs,Engineering,68142,2019-07-21 18:22:18,4.18,E00961
E00033,Amanda,Santos,Engineering,61916,2018-04-15 13:59:09,4.17,E00895
E00034,Teresa,Moody,HR,99324,2024-12-16 22:53:10,2.8,E00097
E00035,Nicholas,Taylor,Product,211037,2022-02-03 21:26:53,4.17,E00513
E00036,Andrea,Mitchell,Customer Success,160932,2019-01-14 03:45:48,4.68,E00216
E00037,Maria,Gallegos,Sales,170720,2020-04-29 10:15:10,2.81,E01156
E00038,Christine,Horton,Engineering,201205,2023-07-10 04:27:28,2.96,E01284
E00039,Michelle,Taylor,Support,216749,2023-08-15 19:23:26,4.31,E00125
E00040,Barbara,Thornton,Marketing,131059,2018-11-29 18:31:45,3.79,E01106
E00041,Janet,West,Engineering,133317,2025-01-28 07:39:45,3.99,E01307
E00042,Brandon,Smith,Finance,70046,2023-06-26 22:20:51,3.84,E00059
E00043,Jeremy,Miller,Engineering,213136,2019-03-16 09:11:57,3.87,E00161
E00044,Keith,Scott,Operations,136459,2024-11-08 03:42:24,2.67,E00284
E00045,Christopher,Conley,Sales,80893,2020-07-20 09:31:42,4.33,E00106
E00046,Jesse,Dunn,Support,136520,2023-02-16 07:30:43,4.42,E01129
E00047,Craig,Acosta,Sales,160818,2025-09-12 06:23:13,3.44,E00228
E00048,Joshua,Rose,Finance,96272,2022-01-20 14:38:28,3.57,E00318
E00049,Cynthia,Rodriguez,Support,102649,2025-12-19 07:02:42,2.53,E00802
E00050,Michael,Roberts,Engineering,99674,2022-08-09 06:38:38,3.96,E00874
E00051,Mitchell,Turner,Product,179832,2023-12-25 15:45:31,4.0,E00472
E00052,Jason,Williams,Customer Success,187999,2024-09-30 19:36:07,3.56,E01080
E00053,Joseph,Barnes,HR,121475,2018-02-28 13:27:47,4.39,E00625
E00054,Sharon,Bauer,Operations,96367,2021-06-12 17:27:12,3.37,E00013
E00055,Deborah,Bryant,Support,178660,2019-02-27 22:02:08,4.0,E01042
E00056,Chelsea,Rodriguez,HR,156750,2021-12-24 12:21:31,2.89,E00694
E00057,George,Stein,Engineering,153154,2020-05-28 21:04:57,3.58,E00973
E00058,Jessica,Carlson,Engineering,218305,2019-03-03 13:38:58,3.48,E00113
E00059,Frank,Smith,Engineering,79738,2023-10-03 07:36:46,3.76,E00229
E00060,Noah,Robertson,Sales,68397,2018-07-30 01:28:06,3.34,E00171
E00061,Veronica,Allen,Marketing,117189,2023-02-16 20:24:33,3.51,E00295
E00062,Danielle,Thomas,Sales,111367,2023-12-07 00:11:42,4.18,E00189
E00063,Angela,Patterson,Security,155585,2020-11-14 16:43:08,3.29,E00426
E00064,Gabrielle,Mendez,Sales,111619,2025-04-21 22:44:56,2.48,E00977
E00065,Megan,Allen,Sales,146453,2020-12-02 06:57:13,4.82,E01103
E00066,Kimberly,Butler,Support,54816,2024-09-22 16:20:17,4.57,E00658
E00067,Jeremy,Beck,Engineering,208312,2019-10-11 04:12:34,2.7,E00919
E00068,Antonio,Miller,Customer Success,172348,2022-03-30 00:16:10,4.08,E01206
E00069,Leslie,Villegas,Engineering,114530,2022-12-05 03:13:16,3.25,E00499
E00070,Joseph,Jones,Product,189571,2019-05-19 14:58:17,3.78,E00762
E00071,Jason,Fox,Customer Success,143856,2018-04-18 01:21:17,3.81,E00866
E00072,Sherri,Romero,Engineering,106635,2019-07-06 14:06:09,3.44,E00826
E00073,Nancy,Mcneil,Engineering,142803,2019-11-21 13:08:02,3.05,E00071
E00074,Leonard,Spencer,Customer Success,70946,2023-03-19 06:06:45,3.12,E00248
E00075,Diana,Myers,Customer Success,90204,2025-03-31 10:56:08,2.96,E00146
E00076,Randall,Harrison,Customer Success,217958,2024-10-25 03:58:48,3.02,E01320
E00077,Robin,Reid,Customer Success,50563,2021-12-28 13:59:02,3.55,E00582
E00078,Stephen,Zavala,Engineering,127324,2024-05-17 20:24:34,3.1,E00470
E00079,Joseph,King,Sales,44847,2022-12-19 02:02:59,4.08,E00193
E00080,John,Smith,Engineering,61155,2019-10-03 02:58:13,4.64,E01092
E00081,Anna,Kramer,Security,114671,2025-11-26 02:23:22,3.19,E00494
E00082,Jose,Cooper,Support,151891,2025-04-12 13:36:52,3.77,E00052
E00083,Brenda,Quinn,Sales,118310,2021-09-26 17:04:01,3.95,E00882
E00084,Rachael,Fuller,Engineering,184381,2022-01-30 21:17:16,3.93,E00363
E00085,Reginald,Ingram,Sales,166691,2018-07-16 01:11:01,3.65,E00917
E00086,Jeffrey,Moss,Sales,216180,2020-04-01 02:25:06,4.12,E00474
E00087,Whitney,Cook,Customer Success,69707,2022-08-16 12:46:07,3.94,E00521
E00088,William,Williams,Support,186409,2025-04-26 14:02:05,2.73,E01322
E00089,Christopher,Payne,Operations,116537,2020-05-01 21:22:47,4.21,E00691
E00090,Brandon,Li,Finance,213686,2019-01-09 10:54:57,4.22,E01222
E00091,Daniel,Thompson,Engineering,126155,2019-08-05 22:31:44,3.07,E01152
E00092,Courtney,Maxwell,Customer Success,35281,2019-01-02 23:30:48,3.63,E00532
E00093,Laura,Marshall,Customer Success,193492,2024-05-27 02:03:41,4.08,E00840
E00094,Robert,Dominguez,Support,205102,2022-06-04 05:18:03,3.45,E01089
E00095,Bryan,Welch,Customer Success,167130,2024-02-17 23:39:14,4.35,E00241
E00096,Patrick,Cain,Finance,111260,2019-07-19 08:44:26,5.0,E00536
E00097,Wendy,Brown,Finance,194476,2024-08-07 23:20:32,3.05,E00083
E00098,Allison,Parsons,Marketing,195928,2020-12-24 06:37:42,2.63,E00982
E00099,Tasha,Ellis,Engineering,175272,2020-01-01 17:38:52,3.81,E00951
E00100,Michelle,Carter,Engineering,99178,2021-04-26 09:03:10,4.11,E00611
E00101,Alexander,Williams,Engineering,68997,2023-12-15 06:44:41,3.44,E00574
E00102,Jennifer,Gonzalez,Support,191683,2022-10-13 13:15:16,4.62,E00286
E00103,Erin,Williams,Sales,154273,2025-11-24 07:41:49,2.66,E00989
E00104,Amanda,Mahoney,Finance,207307,2025-12-25 03:06:24,4.09,E00459
E00105,Joseph,Robertson,Operations,201129,2021-11-20 07:06:38,3.18,E01236
E00106,Danielle,Hays,Sales,167311,2022-03-05 11:34:54,4.8,E00126
